Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate
Alabama,US,9/18/2020 5:10,32.3182,-86.9023,141757,2401,61232,78124,1,2891.120771,1044913,,1.693743519,84000001,USA,21310.90302
Arizona,US,9/18/2020 5:10,33.7298,-111.4312,211660,5409,33381,172870,4,2907.930065,1352882,,2.555513559,84000004,USA,18586.81963
Arkansas,US,9/18/2020 5:10,34.9697,-92.3731,73211,1166,64145,7900,5,2425.969347,856918,,1.592656841,84000005,USA,28395.416
California,US,9/18/2020 5:10,36.1162,-119.6816,775037,14804,,760233,6,1961.512011,13080037,,1.910102356,84000006,USA,33103.77399
Colorado,US,9/18/2020 5:10,39.0598,-105.3111,63125,2006,6220,54899,8,1096.160685,1153853,,3.177821782,84000008,USA,20036.56705
Connecticut,US,9/18/2020 5:10,41.5978,-72.7554,55386,4488,9204,41694,9,1553.479425,1408273,,8.103130755,84000009,USA,39499.56904
Delaware,US,9/18/2020 5:10,39.3185,-75.5071,19318,619,10193,8506,10,1983.848242,267168,,3.204265452,84000010,USA,27436.62736
District of Columbia,US,9/18/2020 5:10,38.8974,-77.0268,14790,619,11763,2408,11,2095.645902,341318,,4.185260311,84000011,USA,48362.51982
Florida,US,9/18/2020 5:10,27.7663,-81.6868,674456,13086,,661370,12,3140.25635,5010973,,1.940230349,84000012,USA,23331.01015
Georgia,US,9/18/2020 5:10,33.0406,-83.6431,300903,6474,,294429,13,2834.049279,2679891,,2.151523913,84000013,USA,25240.50327
Idaho,US,9/18/2020 5:10,44.2405,-114.4788,36489,434,19405,16650,16,2041.839553,283365,,1.189399545,84000016,USA,15856.44618
Illinois,US,9/18/2020 5:10,40.3495,-88.9861,270294,8624,,261670,17,2133.032024,4923033,,3.190599865,84000017,USA,38850.24102
Indiana,US,9/18/2020 5:10,39.8494,-86.2583,108646,3478,85334,19834,18,1613.821535,1269650,,3.201222318,84000018,USA,18859.30924
Iowa,US,9/18/2020 5:10,42.0115,-93.2105,77204,1250,55834,20120,19,2446.982159,701438,,1.619087094,84000019,USA,22232.08994
Kansas,US,9/18/2020 5:10,38.5266,-96.7265,51164,582,1920,48662,20,1756.213028,464226,,1.137518568,84000020,USA,15934.63664
Kentucky,US,9/18/2020 5:10,37.6681,-84.6701,59370,1093,11109,47168,21,1328.87971,1038685,,1.840997137,84000021,USA,23248.90385
Louisiana,US,9/18/2020 5:10,31.1695,-91.8678,159304,5313,145570,8421,22,3426.781225,2124190,,3.335132828,84000022,USA,45693.35617
Maine,US,9/18/2020 5:10,44.6939,-69.3819,4962,138,4317,507,23,369.1382014,351378,,2.781136638,84000023,USA,26140.07314
Maryland,US,9/18/2020 5:10,39.0639,-76.8021,118519,3861,7311,107347,24,1960.391552,1494342,,3.257705516,84000024,USA,24717.5173
Massachusetts,US,9/18/2020 5:10,42.2302,-71.5301,126128,9260,109397,7471,25,1829.930288,3199563,,7.341748065,84000025,USA,46420.91559
Michigan,US,9/18/2020 5:10,43.3266,-84.5361,126722,6955,85513,34254,26,1268.887699,3251731,,5.488391913,84000026,USA,32560.10374
Minnesota,US,9/18/2020 5:10,45.6945,-93.9002,86722,1994,79878,4850,27,1537.724447,1263546,,2.299301215,84000027,USA,22404.75974
Mississippi,US,9/18/2020 5:10,32.7416,-89.6787,91935,2780,78971,10184,28,3089.059049,633432,,3.023875564,84000028,USA,21283.61181
Missouri,US,9/18/2020 5:10,38.4561,-92.2884,109557,1782,,107775,29,1785.063711,1178581,,1.626550563,84000029,USA,19203.17436
Montana,US,9/18/2020 5:10,46.9219,-110.4544,9647,143,7401,2103,30,902.6196273,295299,,1.482326112,84000030,USA,27629.59193
Nebraska,US,9/18/2020 5:10,41.1254,-98.2681,39921,442,29966,9513,31,2063.73216,412851,,1.107186694,84000031,USA,21342.49858
Nevada,US,9/18/2020 5:10,38.3135,-117.0554,74595,1506,1997,71092,32,2421.792922,652583,,2.018902071,84000032,USA,21186.68665
New Hampshire,US,9/18/2020 5:10,43.4525,-71.5639,7781,438,7104,239,33,572.2539569,235510,,5.629096517,84000033,USA,17320.59239
New Jersey,US,9/18/2020 5:10,40.2989,-74.521,198361,16057,34546,147758,34,2233.244279,3265818,,8.094837191,84000034,USA,36768.16191
New Mexico,US,9/18/2020 5:10,34.8405,-106.2485,27199,836,14842,11521,35,1297.149171,837400,,3.073642413,84000035,USA,39936.49458
New York,US,9/18/2020 5:10,42.1657,-74.9481,447262,33070,75962,338230,36,2299.126623,9621920,,7.39387652,84000036,USA,49460.97015
North Carolina,US,9/18/2020 5:10,35.6301,-79.8064,189576,3180,167257,19139,37,1807.537011,2714175,,1.677427522,84000037,USA,25878.65429
North Dakota,US,9/18/2020 5:10,47.5289,-99.784,16723,182,13828,2713,38,2194.440872,540625,,1.088321473,84000038,USA,70942.39051
Ohio,US,9/18/2020 5:10,40.3888,-82.7649,141585,4580,119690,17315,39,1211.256641,2718333,,3.234805947,84000039,USA,23255.28056
Oklahoma,US,9/18/2020 5:10,35.5653,-96.9289,73318,930,62144,10244,40,1852.881914,1039837,,1.268447039,84000040,USA,26278.61058
Oregon,US,9/18/2020 5:10,44.572,-122.0709,30060,521,5376,24163,41,712.7044669,625424,,1.733200266,84000041,USA,14828.42576
Pennsylvania,US,9/18/2020 5:10,40.5908,-77.2098,152775,7893,121296,23586,42,1193.369249,1869198,,5.166421208,84000042,USA,14600.84054
Rhode Island,US,9/18/2020 5:10,41.6809,-71.5118,23488,1085,2236,20167,44,2217.185643,665926,,4.619380109,84000044,USA,62861.10212
South Carolina,US,9/18/2020 5:10,33.8569,-80.945,135446,3158,51431,80857,45,2630.67632,1087587,,2.331556487,84000045,USA,21123.46889
South Dakota,US,9/18/2020 5:10,44.2998,-99.4388,17686,193,14878,2615,46,1999.188388,171523,,1.091258623,84000046,USA,19388.60058
Tennessee,US,9/18/2020 5:10,35.7478,-86.6923,178140,2164,161707,14269,47,2608.514588,2564879,,1.214774896,84000047,USA,37557.67535
Texas,US,9/18/2020 5:10,31.0545,-97.5635,701350,14826,594817,91707,48,2418.791828,5345176,,2.113923148,84000048,USA,18434.25968
Utah,US,9/18/2020 5:10,40.15,-111.8624,60658,437,50108,10113,49,1892.039758,735178,,0.720432589,84000049,USA,22931.6167
Vermont,US,9/18/2020 5:10,44.0459,-72.7107,1705,58,1533,114,50,273.2419963,153195,,3.401759531,84000050,USA,24550.91356
Virginia,US,9/18/2020 5:10,37.7693,-78.17,137367,2918,16671,117778,51,1609.357322,1828512,,2.124236534,84000051,USA,21422.38802
Washington,US,9/18/2020 5:10,47.4009,-121.4905,81198,2031,,79167,53,1066.3052,1691047,,2.501293135,84000053,USA,22207.10127
West Virginia,US,9/18/2020 5:10,38.4912,-80.9545,13434,297,9804,3333,54,749.6036876,498283,,2.210808397,84000054,USA,27803.69021
Wisconsin,US,9/18/2020 5:10,44.2685,-89.6165,93819,1230,81902,10687,55,1611.336427,1405298,,1.311035078,84000055,USA,24135.91979
Wyoming,US,9/18/2020 5:10,42.756,-107.3025,4652,49,4000,603,56,803.7887964,91452,,1.053310404,84000056,USA,15801.39575
