GEOID,tot_pop,maj_race,maj_hh,med_age,per_own,avg_hh
55079000101,4822,black,nonfamily,31.7,0.23179991067440822,2.07
55079000102,3507,black,family,43.7,0.4996949359365467,2.06
55079000201,5450,black,family,26.4,0.22457002457002456,2.67
55079000202,6101,black,family,31.8,0.5347043701799485,2.61
55079000301,1483,white,family,43.5,0.9498480243161094,2.23
55079000302,3028,black,family,24.1,0.3926002055498458,3.11
55079000303,1873,None,family,32.5,0.6024096385542169,2.82
55079000304,3382,None,family,40,0.9003496503496503,2.94
55079000400,2439,black,family,29.2,0.3080438756855576,2.23
55079000501,3450,None,family,31.3,0.48299845440494593,2.66
55079000502,4878,black,family,26.4,0.2616464582003829,2.92
55079000600,6290,black,family,33.8,0.6153846153846154,2.78
55079000700,3580,black,family,38.5,0.5810439560439561,2.33
55079000800,5129,black,family,33.4,0.5223650385604113,2.62
55079000900,3694,black,family,25.3,0.3845018450184502,2.72
55079001000,3654,black,family,30.1,0.5407239819004525,2.74
55079001100,2800,black,family,27.6,0.31801125703564725,2.62
55079001200,2985,black,family,22.1,0.2555438225976769,3.15
55079001300,3733,black,family,28.4,0.5317965023847376,2.95
55079001400,2595,black,family,24.4,0.32987312572087657,2.99
55079001500,3173,black,family,27.6,0.4730878186968839,3
55079001600,2990,black,family,26.4,0.44831013916500995,2.91
55079001700,4458,black,family,29.7,0.4519289650949173,2.72
55079001800,3153,black,family,26.2,0.3833049403747871,2.69
55079001900,3518,black,family,28.3,0.4662379421221865,2.78
55079002000,2470,black,family,31.4,0.4894957983193277,2.59
55079002100,2474,black,family,30.6,0.336734693877551,2.52
55079002200,1790,black,family,32.8,0.6210826210826211,2.54
55079002300,4406,black,family,33.8,0.45683247570040025,2.52
55079002400,2244,black,family,28.6,0.3502415458937198,2.71
55079002500,2195,black,family,29.8,0.4199029126213592,2.65
55079002600,2829,black,family,28.8,0.4936831875607386,2.75
55079002700,1995,black,family,30.5,0.5114709851551957,2.69
55079002800,2252,black,family,26,0.39125,2.81
55079002900,2179,black,family,28.7,0.5615491009681881,3
55079003000,3782,black,family,33.8,0.7097488921713442,2.79
55079003100,3572,black,family,30.8,0.6527331189710611,2.87
55079003200,2819,black,family,32.9,0.6991869918699187,2.84
55079003300,5182,black,family,30.7,0.5224986765484383,2.74
55079003400,5533,None,family,35,0.4738336713995943,2.23
55079003500,3410,black,family,34.7,0.6900726392251816,2.74
55079003600,1893,black,family,34,0.5519125683060109,2.58
55079003700,2315,black,family,35,0.625,2.56
55079003800,2196,black,family,36.4,0.5370985603543743,2.43
55079003900,2630,black,family,33.9,0.4733893557422969,2.45
55079004000,2662,black,family,26.3,0.37624750499001997,2.65
55079004100,2565,black,family,33,0.5015290519877675,2.61
55079004200,3047,black,family,32,0.3817062445030783,2.6
55079004300,5349,black,family,36,0.5270142180094787,2.53
55079004400,3333,black,nonfamily,31.2,0.16942675159235668,2.12
55079004500,2478,black,family,32.6,0.43468715697036225,2.71
55079004600,2984,black,family,33.9,0.40415913200723325,2.69
55079004700,4021,black,family,33.7,0.4572390572390572,2.71
55079004800,4002,black,family,29.5,0.4364560639070443,2.89
55079004900,4506,black,family,32.3,0.5150784077201448,2.71
